"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
209,"BAV4001",1,"S",2023,12,1555,"MAT1011",4,"-"
209,"BAV4001",1,"S",2023,12,1555,"MAT1015",5,"-"
209,"BAV4001",1,"S",2023,12,1559,"VG1333",3,"-"
209,"BAV4001",1,"S",2023,12,1559,"VF1320",4,"-"
209,"BAV4001",1,"S",2023,12,1563,"MAT1011",3,"-"
209,"BAV4001",1,"S",2023,12,1563,"MAT1015",3,"-"
209,"BAV4001",1,"S",2023,12,1572,"VG1333",5,"-"
209,"BAV4001",1,"S",2023,12,1572,"VF1320",5,"-"
209,"BAV4001",1,"S",2023,12,1576,"MAT1011",3,"-"
209,"BAV4001",1,"S",2023,12,1576,"MAT1015",3,"-"
209,"BAV4001",1,"S",2023,12,1579,"MAT1005",3,"-"
209,"BAV4001",1,"S",2023,12,1579,"MAT1001",3,"-"
209,"BAV4001",1,"S",2023,12,1584,"MAT1011",4,"-"
209,"BAV4001",1,"S",2023,12,1584,"MAT1015",5,"3"
