"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
209,"BAV4001",1,"S",2023,12,1555,"MABAV","Master i barnevern",2023,"HØST","Campus Lillehammer","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4,5","MAT1015","Matematikk 2P",NA,NA,NA,NA,"","34,2","","1",50,0,"K",23,NA,NA,"BACHBV","BACHELOR I BARNEVERN (UIT)"
209,"BAV4001",1,"S",2023,12,1558,"MABAV","Master i barnevern",2023,"HØST","Campus Lillehammer","","","","","","","",NA,NA,NA,NA,"31,2","31,2","31,2","0",100,0,"K",45,NA,NA,"BACBVPHIØ","Bachelor i barnevern (HIØ)"
209,"BAV4001",1,"S",2023,12,1559,"MABAV","Master i barnevern",2023,"HØST","Campus Lillehammer","D030","Tegning/form/farge","FO","Formgivingsfag","3,5","VF1320","Matematikk 1M (ny plan)",NA,NA,NA,NA,"","36,1","","0",100,0,"K",34,NA,NA,"BBVP","Bachelor i barnevern"
209,"BAV4001",1,"S",2023,12,1563,"MABAV","Master i barnevern",2023,"HØST","Campus Lillehammer","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3","MAT1015","Matematikk 2P",NA,NA,NA,NA,"","42,8","","1",50,0,"K",23,NA,NA,"BACBVPHIØ","Bachelor i barnevern (HIØ)"
209,"BAV4001",1,"S",2023,12,1570,"MABAV","Master i barnevern",2023,"HØST","Campus Lillehammer","","","","","2","-","-",NA,NA,NA,NA,"33,8","32,3","33,8","4",0,100,"K",44,NA,NA,"BBVP","Bachelor i barnevern"
209,"BAV4001",1,"S",2023,12,1572,"MABAV","Master i barnevern",2023,"HØST","Campus Lillehammer","P011","Medier og kommunikasjon","MK","Medier og kommunikasjon (yrkesfaglig)","5","VF1320","Matematikk 1M (ny plan)",NA,NA,NA,NA,"50,8","50,8","60,8","4",0,100,"K",37,NA,NA,"BBVP","Bachelor i barnevern"
209,"BAV4001",1,"S",2023,12,1576,"MABAV","Master i barnevern",2023,"HØST","Campus Lillehammer","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3","MAT1015","Matematikk 2P",NA,NA,NA,NA,"34,06","34,06","34,06","4",0,100,"K",23,NA,NA,"HBU05","Bachelor i barnevern (OSLOMET)"
209,"BAV4001",1,"S",2023,12,1577,"MABAV","Master i barnevern",2023,"HØST","Campus Lillehammer","","","","","","","",NA,NA,NA,NA,"40","40","40","0",100,0,"K",53,NA,NA,"BVP","Barnevernpedagog-utdanninga"
209,"BAV4001",1,"S",2023,12,1579,"MABAV","Master i barnevern",2023,"HØST","Campus Lillehammer","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","3","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"25","25","25","1,5",50,0,"K",23,NA,NA,"BBVP","Bachelor i barnevern"
209,"BAV4001",1,"S",2023,12,1584,"MABAV","Master i barnevern",2023,"HØST","Campus Lillehammer","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","MAT1015","Matematikk 2P",NA,NA,NA,NA,"44,8","44,8","44,8","0",100,0,"K",25,NA,NA,"BACHEL","Bachelor i barnevern  (USN)"
