"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
203,"MASB512",1,"S",2023,"HØST",1001,"MASO","Master i sosialvitenskap",2023,"HØST","Bergen","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3","MAT1015","Matematikk 2P",NA,NA,NA,NA,"","49,5","","4,4",0,100,"K",22,NA,1,"BSAB","Bachelor i sosialt arbeid"
203,"MASB512",1,"S",2023,"HØST",1003,"MASO","Master i sosialvitenskap",2023,"HØST","Bergen","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4,5","MAT1011","Matematikk 1P",5,NA,NA,NA,"47,8","46,8","47,8","4,4",0,100,"K",23,NA,1,"BSAB","Bachelor i sosialt arbeid"
203,"MASB512",1,"S",2023,"HØST",1004,"MASO","Master i sosialvitenskap",2023,"HØST","Bergen","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","4","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"","42,7","","4",0,100,"K",27,NA,1,"SOSBV","Bachelor i sosialt arbeid - sosionom (HVO)"
203,"MASB512",1,"S",2023,"HØST",1005,"MASO","Master i sosialvitenskap",2023,"HØST","Bergen","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","2","MAT1011","Matematikk 1P",NA,NA,NA,NA,"","51","","3,8",0,40,"K",23,NA,1,"BSAB","Bachelor i sosialt arbeid"
203,"MASB512",1,"S",2023,"HØST",1006,"MASO","Master i sosialvitenskap",2023,"HØST","Bergen","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","5","MAT1015","Matematikk 2P",NA,NA,NA,NA,"","46,3","","5",0,100,"K",24,NA,1,"HSBASO","Bachelor i sosialt arbeid (NTNU)"
203,"MASB512",1,"S",2023,"HØST",1007,"MASO","Master i sosialvitenskap",2022,"HØST","Bergen","NANAB3","Studieforberedende vg3 innen naturbruk",NA,"Naturbruk","3,5","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"43,4","42,9","43,4","3,41",0,29,"K",24,NA,3,"BAR","Barnevern, bachelorstudium, Sogndal"
203,"MASB512",1,"S",2023,"HØST",1008,"MASO","Master i sosialvitenskap",2023,"HØST","Bergen","","","","","","","",NA,NA,NA,NA,"38,6","38,6","38,6","4",0,100,"K",36,NA,1,"SOS","Bachelor i sosialt arbeid"
203,"MASB512",1,"S",2023,"HØST",1010,"MASO","Master i sosialvitenskap",2023,"HØST","Bergen","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3","MAT1015","Matematikk 2P",NA,NA,NA,NA,"","43,5","","2,2",0,40,"M",30,NA,1,"HSU02","Bachelor i sosialt arbeid (OSLOMET)"
203,"MASB512",1,"S",2023,"HØST",1011,"MASO","Master i sosialvitenskap",2023,"HØST","Bergen","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4,5","MAT1015","Matematikk 2P",NA,NA,NA,NA,"","41,3","","4",0,100,"K",26,NA,1,"BSAB","Bachelor i sosialt arbeid"
203,"MASB512",1,"S",2023,"HØST",1012,"MASO","Master i sosialvitenskap",2023,"HØST","Bergen","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","5","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"49,6","49,6","49,6","3,8",0,40,"K",23,NA,1,"BSAB","Bachelor i sosialt arbeid"
