"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
223,"BVA301",1,"OS-S",2023,12,1761,"VG1300",4,"-"
223,"BVA301",1,"OS-S",2023,12,1765,"VF1320",4,"-"
223,"BVA301",1,"OS-S",2023,12,1765,"HS1010",4,"-"
223,"BVA301",1,"OS-S",2023,12,1765,"VG1333",3,"-"
223,"BVA301",1,"OS-S",2023,12,1766,"VG1333",2,"-"
223,"BVA301",1,"OS-S",2023,12,1766,"VF1320",2,"-"
223,"BVA301",1,"OS-S",2023,12,1770,"HS1010",4,"-"
223,"BVA301",1,"OS-S",2023,12,1770,"VG1333",3,"-"
223,"BVA301",1,"OS-S",2023,12,1770,"VF1320",4,"-"
223,"BVA301",1,"OS-S",2023,12,1771,"VG1300",3,"-"
223,"BVA301",1,"OS-S",2023,12,1771,"HS1010",3,"-"
223,"BVA301",1,"OS-S",2023,12,1774,"MAT1001",5,"5"
223,"BVA301",1,"OS-S",2023,12,1774,"MAT1005",5,"-"
223,"BVA301",1,"OS-S",2023,12,1775,"HS1010",4,"-"
223,"BVA301",1,"OS-S",2023,12,1775,"AA6250",4,"-"
223,"BVA301",1,"OS-S",2023,12,1775,"VG1300",3,"-"
