"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1150,"MAT1011","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1150,"MAT1015","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1151,"MAT1015","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1151,"MAT1011","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1152,"MAT1011","6","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1152,"MAT1015","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1154,"MAT1015","6","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1154,"MAT1011","6","3"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1155,"VG1341","-","R"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1155,"HS1010","-","2"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1156,"MAT1005","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1156,"MAT1001","5","5"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1157,"MAT1015","4","3"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1157,"MAT1011","3","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1158,"REA3022","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1158,"MAT1011","-","4"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1159,"REA3001","GK","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1159,"MAT1011","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1159,"REA3026","GK","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1160,"MAT1015","-","5"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1160,"MAT1011","-","5"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1162,"REA3026","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1162,"REA3011","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1162,"REA3028","5","4"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1162,"MAT1011","-","5"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1163,"MAT1011","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1163,"MAT1015","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1164,"REA3026","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1164,"MAT1011","-","4"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1164,"REA3028","5","4"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1165,"MAT1011","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1165,"MAT1015","3","3"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1166,"REA3026","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1166,"MAT1011","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1167,"MAT1015","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1167,"MAT1011","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1168,"MAT1001","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1168,"MAT1005","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1169,"MAT1015","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1169,"MAT1011","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1170,"MAT1015","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1170,"MAT1011","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1171,"MAT1015","2","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1171,"MAT1011","2","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1172,"MAT1012","-","4"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1172,"MAT1011","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1172,"MAT1015","4","3"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1173,"REA3001","6","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1173,"REA3026","5","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1173,"MAT1013","4","-"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1173,"REA3028","4","-"
