"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
215,"SBV4200",1,1,2023,"HØST",1650,"MAT1001","4","-"
215,"SBV4200",1,1,2023,"HØST",1650,"MAT1005","2","-"
215,"SBV4200",1,1,2023,"HØST",1650,"MAT1105","-","2"
215,"SBV4200",1,1,2023,"HØST",1651,"REA3022","2","-"
215,"SBV4200",1,1,2023,"HØST",1651,"REA3001","5","-"
215,"SBV4200",1,1,2023,"HØST",1651,"MAT1013","2","-"
215,"SBV4200",1,1,2023,"HØST",1651,"REA3011","3","-"
215,"SBV4200",1,1,2023,"HØST",1651,"REA3012","3","-"
215,"SBV4200",1,1,2023,"HØST",1652,"MAT1015","5","4"
215,"SBV4200",1,1,2023,"HØST",1652,"MAT1011","5","-"
215,"SBV4200",1,1,2023,"HØST",1654,"MAT1005","4","-"
215,"SBV4200",1,1,2023,"HØST",1654,"MAT1001","5","-"
215,"SBV4200",1,1,2023,"HØST",1655,"MAT1015","5","-"
215,"SBV4200",1,1,2023,"HØST",1655,"MAT1011","5","-"
215,"SBV4200",1,1,2023,"HØST",1656,"MAT1015","4","4"
215,"SBV4200",1,1,2023,"HØST",1656,"MAT1011","4","-"
215,"SBV4200",1,1,2023,"HØST",1656,"REA3001","5","-"
215,"SBV4200",1,1,2023,"HØST",1657,"MAT1015","5","-"
215,"SBV4200",1,1,2023,"HØST",1657,"MAT1011","5","-"
215,"SBV4200",1,1,2023,"HØST",1658,"MAT1015","3","-"
215,"SBV4200",1,1,2023,"HØST",1658,"MAT1011","3","-"
215,"SBV4200",1,1,2023,"HØST",1658,"REA3001","-","5"
215,"SBV4200",1,1,2023,"HØST",1659,"MAT1011","4","-"
215,"SBV4200",1,1,2023,"HØST",1659,"MAT1015","5","-"
215,"SBV4200",1,1,2023,"HØST",1660,"MAT1015","5","-"
215,"SBV4200",1,1,2023,"HØST",1660,"MAT1011","5","-"
215,"SBV4200",1,1,2023,"HØST",1661,"REA3001","4","-"
215,"SBV4200",1,1,2023,"HØST",1661,"REA3026","5","5"
215,"SBV4200",1,1,2023,"HØST",1661,"MAT1013","6","5"
215,"SBV4200",1,1,2023,"HØST",1662,"REA3001","4","-"
215,"SBV4200",1,1,2023,"HØST",1662,"MAT1015","4","-"
215,"SBV4200",1,1,2023,"HØST",1662,"MAT1011","-","3"
215,"SBV4200",1,1,2023,"HØST",1663,"REA3001","5","-"
215,"SBV4200",1,1,2023,"HØST",1663,"MAT1011","2","-"
215,"SBV4200",1,1,2023,"HØST",1663,"MAT1015","4","-"
215,"SBV4200",1,1,2023,"HØST",1663,"REA3002","4","-"
215,"SBV4200",1,1,2023,"HØST",1664,"MAT1015","3","2"
215,"SBV4200",1,1,2023,"HØST",1664,"MAT1011","3","-"
215,"SBV4200",1,1,2023,"HØST",1665,"MAT1015","3","-"
215,"SBV4200",1,1,2023,"HØST",1665,"MAT1011","3","-"
215,"SBV4200",1,1,2023,"HØST",1666,"MAT1011","4","3"
215,"SBV4200",1,1,2023,"HØST",1666,"REA3026","3","-"
215,"SBV4200",1,1,2023,"HØST",1667,"MAT1011","5","-"
215,"SBV4200",1,1,2023,"HØST",1667,"MAT1015","5","-"
215,"SBV4200",1,1,2023,"HØST",1669,"MAT1011","-","5"
215,"SBV4200",1,1,2023,"HØST",1669,"MAT1015","4","-"
215,"SBV4200",1,1,2023,"HØST",1670,"MAT1001","4","-"
215,"SBV4200",1,1,2023,"HØST",1670,"MAT1005","3","-"
215,"SBV4200",1,1,2023,"HØST",1671,"MAT1013","2","-"
215,"SBV4200",1,1,2023,"HØST",1671,"MAT1015","4","-"
215,"SBV4200",1,1,2023,"HØST",1672,"MAT1011","4","-"
215,"SBV4200",1,1,2023,"HØST",1672,"MAT1015","4","-"
215,"SBV4200",1,1,2023,"HØST",1674,"REA3026","F","-"
215,"SBV4200",1,1,2023,"HØST",1674,"MAT1007","3","-"
215,"SBV4200",1,1,2023,"HØST",1674,"REA3028","2","-"
215,"SBV4200",1,1,2023,"HØST",1675,"MAT1011","5","-"
215,"SBV4200",1,1,2023,"HØST",1675,"MAT1015","5","-"
215,"SBV4200",1,1,2023,"HØST",1676,"REA3026","2","3"
215,"SBV4200",1,1,2023,"HØST",1676,"MAT1013","2","-"
215,"SBV4200",1,1,2023,"HØST",1676,"REA3028","3","2"
215,"SBV4200",1,1,2023,"HØST",1678,"MAT1001","3","-"
215,"SBV4200",1,1,2023,"HØST",1678,"MAT1005","3","2"
215,"SBV4200",1,1,2023,"HØST",1679,"VG1300","5","-"
215,"SBV4200",1,1,2023,"HØST",1680,"MAT1003","F","-"
215,"SBV4200",1,1,2023,"HØST",1681,"MAT1003","3","-"
215,"SBV4200",1,1,2023,"HØST",1683,"MAT1011","2","-"
215,"SBV4200",1,1,2023,"HØST",1683,"MAT1015","2","-"
215,"SBV4200",1,1,2023,"HØST",1700,"MAT1001","5","-"
215,"SBV4200",1,1,2023,"HØST",1700,"MAT1005","3","-"
215,"SBV4200",1,1,2023,"HØST",1701,"MAT1001","4","-"
215,"SBV4200",1,1,2023,"HØST",1701,"MAT1005","4","-"
215,"SBV4200",1,1,2023,"HØST",1703,"MAT1011","4","-"
215,"SBV4200",1,1,2023,"HØST",1703,"MAT1015","5","-"
215,"SBV4200",1,1,2023,"HØST",1704,"MAT1011","4","-"
215,"SBV4200",1,1,2023,"HØST",1704,"MAT1015","3","-"
215,"SBV4200",1,1,2023,"HØST",1705,"MAT1003","3","-"
215,"SBV4200",1,1,2023,"HØST",1706,"MAT1001","3","-"
215,"SBV4200",1,1,2023,"HØST",1706,"MAT1005","4","-"
215,"SBV4200",1,1,2023,"HØST",1710,"MAT1013","2","-"
215,"SBV4200",1,1,2023,"HØST",1710,"REA3026","2","-"
215,"SBV4200",1,1,2023,"HØST",1711,"MAT1011","4","-"
215,"SBV4200",1,1,2023,"HØST",1711,"MAT1015","4","2"
215,"SBV4200",1,1,2023,"HØST",1713,"MAT1001","4","-"
215,"SBV4200",1,1,2023,"HØST",1713,"MAT1005","2","-"
215,"SBV4200",1,1,2023,"HØST",1714,"MAT1011","2","-"
215,"SBV4200",1,1,2023,"HØST",1714,"MAT1015","3","2"
215,"SBV4200",1,1,2023,"HØST",1716,"MAT1011","4","-"
215,"SBV4200",1,1,2023,"HØST",1716,"MAT1015","5","-"
215,"SBV4200",1,1,2023,"HØST",1719,"MAT1011","4","-"
215,"SBV4200",1,1,2023,"HØST",1719,"MAT1015","5","5"
215,"SBV4200",1,1,2023,"HØST",1722,"MAT1011","4","-"
215,"SBV4200",1,1,2023,"HØST",1722,"MAT1015","5","5"
215,"SBV4200",1,1,2023,"HØST",1723,"MAT1011","3","-"
215,"SBV4200",1,1,2023,"HØST",1723,"MAT1015","4","2"
215,"SBV4200",1,1,2023,"HØST",1724,"VF1320","4","-"
215,"SBV4200",1,1,2023,"HØST",1724,"VG1333","5","4"
215,"SBV4200",1,1,2023,"HØST",1724,"HS1010","5","-"
215,"SBV4200",1,1,2023,"HØST",1725,"REA3022","4","-"
215,"SBV4200",1,1,2023,"HØST",1725,"MAT1007","4","-"
215,"SBV4200",1,1,2023,"HØST",1725,"REA3024","4","2"
