"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
217,"MBA102",1,"S",2023,"HØST-EO",1250,"REA3029","-","3"
217,"MBA102",1,"S",2023,"HØST-EO",1250,"REA3028","3","-"
217,"MBA102",1,"S",2023,"HØST-EO",1250,"MAT1013","3","-"
217,"MBA102",1,"S",2023,"HØST-EO",1250,"REA3011","3","-"
217,"MBA102",1,"S",2023,"HØST-EO",1250,"REA3026","4","-"
217,"MBA102",1,"S",2023,"HØST-EO",1251,"MAT1011","3","-"
217,"MBA102",1,"S",2023,"HØST-EO",1251,"MAT1015","3","-"
217,"MBA102",1,"S",2023,"HØST-EO",1252,"VG1331","3","-"
217,"MBA102",1,"S",2023,"HØST-EO",1253,"MAT1015","GK","-"
217,"MBA102",1,"S",2023,"HØST-EO",1253,"MAT1011","3","-"
217,"MBA102",1,"S",2023,"HØST-EO",1254,"MAT1001","4","-"
217,"MBA102",1,"S",2023,"HØST-EO",1254,"MAT1005","4","5"
217,"MBA102",1,"S",2023,"HØST-EO",1255,"MAT1001","2","-"
217,"MBA102",1,"S",2023,"HØST-EO",1255,"MAT1105","-","3"
217,"MBA102",1,"S",2023,"HØST-EO",1255,"MAT1005","3","-"
