"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
224,"MBVA402",1,"S",2023,12,1450,"MAT1001","5","-"
224,"MBVA402",1,"S",2023,12,1452,"MAT1001","4","-"
224,"MBVA402",1,"S",2023,12,1452,"MAT1005","4","-"
224,"MBVA402",1,"S",2023,12,1453,"MAT1005","4","-"
224,"MBVA402",1,"S",2023,12,1453,"MAT1105","-","5"
224,"MBVA402",1,"S",2023,12,1453,"MAT1001","4","-"
224,"MBVA402",1,"S",2023,12,1457,"MAT1011","3","-"
224,"MBVA402",1,"S",2023,12,1457,"MAT1015","4","-"
224,"MBVA402",1,"S",2023,12,1458,"MAT1011","3","-"
224,"MBVA402",1,"S",2023,12,1458,"MAT1015","3","2"
224,"MBVA402",1,"S",2023,12,1459,"MAT1015","4","-"
224,"MBVA402",1,"S",2023,12,1459,"MAT1011","4","-"
224,"MBVA402",1,"S",2023,12,1460,"MAT1015","-","2"
224,"MBVA402",1,"S",2023,12,1460,"MAT1011","-","2"
224,"MBVA402",1,"S",2023,12,1460,"REA3001","2","-"
224,"MBVA402",1,"S",2023,12,1461,"MAT1005","6","4"
224,"MBVA402",1,"S",2023,12,1461,"MAT1001","6","-"
224,"MBVA402",1,"S",2023,12,1462,"MAT1001","4","-"
224,"MBVA402",1,"S",2023,12,1462,"MAT1005","2","2"
224,"MBVA402",1,"S",2023,12,1463,"MAT1001","4","-"
224,"MBVA402",1,"S",2023,12,1463,"MAT1005","4","2"
224,"MBVA402",1,"S",2023,12,1465,"MAT1001","5","-"
224,"MBVA402",1,"S",2023,12,1465,"MAT1005","2","3"
224,"MBVA402",1,"S",2023,12,1466,"MAT1001","5","-"
224,"MBVA402",1,"S",2023,12,1466,"MAT1005","5","-"
224,"MBVA402",1,"S",2023,12,1469,"MAT1011","4","-"
224,"MBVA402",1,"S",2023,12,1469,"MAT1015","4","4"
224,"MBVA402",1,"S",2023,12,1470,"MAT1001","2","-"
224,"MBVA402",1,"S",2023,12,1470,"MAT1005","4","4"
