"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
224,"MBVA402",1,"S",2023,12,1450,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","HSAPO3","Apotekteknikk","HS","Helse- og oppvekstfag","5","MAT1001","Matematikk 1P-Y",NA,NA,NA,NA,"","45,2","","3,5",0,50,"K",33,NA,NA,"SOS","Bachelorstudium i sosialt arbeid"
224,"MBVA402",1,"S",2023,12,1451,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","","","","","4","-","-",NA,NA,NA,NA,"46,7","46,7","46,7","1",50,0,"K",32,NA,NA,"BVP","Bachelorstudium i barnevern"
224,"MBVA402",1,"S",2023,12,1452,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","MKMED3","Studieforberedende vg3 innen medier og kommunikasjon","MK","Medier og kommunikasjon (yrkesfaglig)","4","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"37,14","37,14","37,14","1",50,0,"K",25,NA,NA,"BACHSOSARB","Bachelor i sosialt arbeid (HINN)"
224,"MBVA402",1,"S",2023,12,1453,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","PBPBY4","Fag for studiekompetanse","","","4,3","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"43,5","43,5","47,5","1,5",50,0,"K",25,NA,NA,"BVP","Bachelorstudium i barnevern"
224,"MBVA402",1,"S",2023,12,1454,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","","","","","","","",NA,NA,NA,NA,"","","","4",0,50,"K",46,NA,NA,"",""
224,"MBVA402",1,"S",2023,12,1455,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","","","","","","","",NA,NA,NA,NA,"38,15","38,15","38,15","1,5",50,0,"K",53,NA,NA,"BVP","Bachelorstudium i barnevern"
224,"MBVA402",1,"S",2023,12,1456,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","","","","","","","",NA,NA,NA,NA,"","","","1",50,0,"K",43,NA,NA,"BARNPED","Bachelor i barnevern (NORD)"
224,"MBVA402",1,"S",2023,12,1457,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","IDIDR3","Idrettsfag vg3","ID","Idrettsfag","3,5","MAT1015","Matematikk 2P",NA,NA,NA,NA,"","42,1","","1",50,0,"K",27,NA,NA,"BVP","Bachelorstudium i barnevern"
224,"MBVA402",1,"S",2023,12,1458,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","MDDAN3","Dans vg3","MD","Musikk, dans og drama","3","MAT1015","Matematikk 2P",NA,NA,NA,NA,"40","40","40","1",50,0,"K",26,NA,NA,"BVP","Bachelorstudium i barnevern"
224,"MBVA402",1,"S",2023,12,1459,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","IDIDR3","Idrettsfag vg3","ID","Idrettsfag","4","MAT1015","Matematikk 2P",NA,NA,NA,NA,"47","47","47","3",0,0,"K",22,NA,NA,"BVP","Bachelorstudium i barnevern"
224,"MBVA402",1,"S",2023,12,1460,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","2","MAT1015","Matematikk 2P",2,NA,NA,NA,"33,33","33,33","33,33","1,5",50,0,"K",38,NA,NA,"BLU-D","Bachelorstudium i barnehagelærerutdanning, deltid"
224,"MBVA402",1,"S",2023,12,1461,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","5,5","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"","50,8","","",NA,NA,"K",25,NA,NA,"SOS","Bachelorstudium i sosialt arbeid"
224,"MBVA402",1,"S",2023,12,1462,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","3","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"","37,7","","1,5",50,0,"M",28,NA,NA,"AVF","Bachelorstudium i arbeids- og velferdsfag"
224,"MBVA402",1,"S",2023,12,1463,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","MKMED3","Studieforberedende vg3 innen medier og kommunikasjon","MK","Medier og kommunikasjon (yrkesfaglig)","3,5","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"","45,2","","1",50,0,"K",24,NA,NA,"SOS","Bachelorstudium i sosialt arbeid"
224,"MBVA402",1,"S",2023,12,1464,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","","","","","","","",NA,NA,NA,NA,"26,36","26,36","26,36","1",50,0,"K",46,NA,NA,"BACHSOSARB","Bachelor i sosialt arbeid (HINN)"
224,"MBVA402",1,"S",2023,12,1465,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","MKMED3","Studieforberedende vg3 innen medier og kommunikasjon","MK","Medier og kommunikasjon (yrkesfaglig)","4","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"","33,2","","1",50,0,"K",27,NA,NA,"",""
224,"MBVA402",1,"S",2023,12,1466,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","5","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"33,33","33,33","33,33","1,5",50,0,"K",22,NA,NA,"BACHSOS","Bachelor i sosialt arbeid (VID)"
224,"MBVA402",1,"S",2023,12,1467,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","","","","","","","",NA,NA,NA,NA,"41,1","41,1","41,1","",NA,NA,"M",34,NA,NA,"VE3","Bachelorstudium i vernepleie, heltid"
224,"MBVA402",1,"S",2023,12,1468,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","","","","","","","",NA,NA,NA,NA,"","","","0",100,0,"M",57,NA,NA,"HBU05","Bachelor i barnevern (OSLOMET)"
224,"MBVA402",1,"S",2023,12,1469,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","MAT1015","Matematikk 2P",NA,NA,NA,NA,"","45,2","","1,5",50,0,"K",30,NA,NA,"BVP","Bachelorstudium i barnevern"
224,"MBVA402",1,"S",2023,12,1470,"MBVA","Masterstudium i barnevernsarbeid (120 studiepoeng)",2023,"HØST","Fredrikstad/Kråkerøy","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","3","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"41,3","41,3","51,3","1",50,0,"K",28,NA,NA,"SOS","Bachelorstudium i sosialt arbeid"
