"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
223,"BVA301",1,"OS-S",2023,12,1750,"BVAMGD","Barnevernsarbeid - master (deltid)",2023,"HØST",NA,"","","","","","","",NA,NA,NA,NA,"","","",0,100,0,"K",47,NA,NA,"RSF1V","Rus - samfunnsproblem, førebygging og behandling"
223,"BVA301",1,"OS-S",2023,12,1752,"BVAMGD","Barnevernsarbeid - master (deltid)",2023,"HØST",NA,"","","","","","","",NA,NA,NA,NA,"41,1","41,1","41,1",3,0,0,"K",44,NA,NA,"BVPBV","Sosialt arbeid, barnevernspedagog - bachelor"
223,"BVA301",1,"OS-S",2023,12,1760,"BVAMGD","Barnevernsarbeid - master (deltid)",2023,"HØST",NA,"","","","","","","",NA,NA,NA,NA,"","","",4,0,100,"M",47,NA,NA,"ASHM","ASH åpne emner masternivå"
223,"BVA301",1,"OS-S",2023,12,1761,"BVAMGD","Barnevernsarbeid - master (deltid)",2023,"HØST",NA,"A004","Allmenne fag","AA","Allmenne, økonomiske og administrative fag","4","VG1300","Matematikk 1MA-A (med modul 2A)(elever)",NA,NA,NA,NA,"","40,8","",2,0,0,"K",42,NA,NA,"HBU02","Bachelor i barnevern (OSLOMET)"
223,"BVA301",1,"OS-S",2023,12,1764,"BVAMGD","Barnevernsarbeid - master (deltid)",2023,"HØST",NA,"","","","","","","",NA,NA,NA,NA,"34","34","34",NA,NA,NA,"M",49,NA,NA,"BACHELOR","Bachelor (HVL)"
223,"BVA301",1,"OS-S",2023,12,1765,"BVAMGD","Barnevernsarbeid - master (deltid)",2023,"HØST",NA,"A010","Allmennfaglig påbygging","AA","Allmenne, økonomiske og administrative fag","3,5","VF1320","Matematikk 1M (ny plan)",4,NA,NA,NA,"","36,4","",0,100,0,"K",39,NA,NA,"SOSBV","Sosialt arbeid, sosionom - bachelor"
223,"BVA301",1,"OS-S",2023,12,1766,"BVAMGD","Barnevernsarbeid - master (deltid)",2023,"HØST",NA,"A010","Allmennfaglig påbygging","AA","Allmenne, økonomiske og administrative fag","2","VF1320","Matematikk 1M (ny plan)",NA,NA,NA,NA,"35,7","35,7","35,7",0,100,0,"K",37,NA,NA,"BVPBV","Sosialt arbeid, barnevernspedagog - bachelor"
223,"BVA301",1,"OS-S",2023,12,1769,"BVAMGD","Barnevernsarbeid - master (deltid)",2023,"HØST",NA,"","","","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,"M",49,NA,NA,"BVPBV","Sosialt arbeid, barnevernspedagog - bachelor"
223,"BVA301",1,"OS-S",2023,12,1770,"BVAMGD","Barnevernsarbeid - master (deltid)",2023,"HØST",NA,"A010","Allmennfaglig påbygging","AA","Allmenne, økonomiske og administrative fag","3,5","VF1320","Matematikk 1M (ny plan)",4,NA,NA,NA,"40,8","40,8","40,8",2,0,0,"K",36,NA,NA,"BVPBV","Sosialt arbeid, barnevernspedagog - bachelor"
223,"BVA301",1,"OS-S",2023,12,1771,"BVAMGD","Barnevernsarbeid - master (deltid)",2023,"HØST",NA,"A010","Allmennfaglig påbygging","AA","Allmenne, økonomiske og administrative fag","3","VG1300","Matematikk 1MA-A (med modul 2A)(elever)",3,NA,NA,NA,"31,5","31,5","31,5",NA,NA,NA,"K",40,NA,NA,"BLUBVA","Arbeidsplassbasert barnehagelærerutdanning"
223,"BVA301",1,"OS-S",2023,12,1772,"BVAMGD","Barnevernsarbeid - master (deltid)",2023,"HØST",NA,"","","","","","","",NA,NA,NA,NA,"33,3","33,3","33,3",2,0,0,"K",41,NA,NA,"SOSBV","Sosialt arbeid, sosionom - bachelor"
223,"BVA301",1,"OS-S",2023,12,1773,"BVAMGD","Barnevernsarbeid - master (deltid)",2023,"HØST",NA,"","","","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,"K",54,NA,NA,"BVPBV","Sosialt arbeid, barnevernspedagog - bachelor"
223,"BVA301",1,"OS-S",2023,12,1774,"BVAMGD","Barnevernsarbeid - master (deltid)",2023,"HØST",NA,"PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","5","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"41,5","41,5","51,5",5,0,100,"M",27,NA,NA,"BVPBV","Sosialt arbeid, barnevernspedagog - bachelor"
223,"BVA301",1,"OS-S",2023,12,1775,"BVAMGD","Barnevernsarbeid - master (deltid)",2023,"HØST",NA,"A010","Allmennfaglig påbygging","AA","Allmenne, økonomiske og administrative fag","3","VG1300","Matematikk 1MA-A (med modul 2A)(elever)",4,NA,NA,NA,"","41,2","",0,100,0,"K",41,NA,NA,"BACHELOR","Bachelor (HVL)"
223,"BVA301",1,"OS-S",2023,12,1776,"BVAMGD","Barnevernsarbeid - master (deltid)",2023,"HØST",NA,"","","","","3","-","-",NA,NA,NA,NA,"36,6","36,6","36,6",2,0,0,"K",39,NA,NA,"SOSBV","Sosialt arbeid, sosionom - bachelor"
223,"BVA301",1,"OS-S",2023,12,1777,"BVAMGD","Barnevernsarbeid - master (deltid)",2023,"HØST",NA,"","","","","","","",NA,NA,NA,NA,"","","",3,0,0,"K",47,NA,NA,"BACHELOR","Bachelor (HVL)"
