"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1150,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","IDIDR3","Idrettsfag vg3","ID","Idrettsfag","4","MAT1015","Matematikk 2P","",NA,"","","48,8","48,8","56,8","4",0,100,"K",22,NA,NA,"HSGSOB","Bachelor i sosialt arbeid (sosionom)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1151,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","MAT1015","Matematikk 2P","",NA,"","","","36,7","","",NA,NA,"K",25,NA,NA,"BACH_BLU","Bachelor Barnehagelærer (DMMH)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1152,"MBV","Master i barnevern",2023,"HØST","Trondheim","MDDAN3","Dans vg3","MD","Musikk, dans og drama","5,5","MAT1015","Matematikk 2P","",NA,"","","45,9","45,9","45,9","3",0,0,"K",23,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1153,"MBVARB","Master i barnevernsarbeid",2022,"HØST","Trondheim","","","","","","","","",NA,"","","","","","3",0,0,"M",42,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1154,"MBV","Master i barnevern",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","5,5","MAT1015","Matematikk 2P","",NA,"","","51,5","51,5","51,5","3",0,0,"K",23,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1155,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","F017","Helsesekretær","HS","Helse- og oppvekstfag","0","","","2",NA,"","","","39,2","","",NA,NA,"K",41,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1156,"MBV","Master i barnevern",2023,"HØST","Trondheim","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","5","MAT1005","Matematikk 2P-Y","",NA,"","","51,4","51,4","51,4","3",0,0,"K",22,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1157,"MBV","Master i barnevern",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3,5","MAT1015","Matematikk 2P","",NA,"","","46,8","46,8","46,8","3",0,0,"K",22,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1158,"MBV","Master i barnevern",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","REA3022","Matematikk R1","",NA,"","","47,3","46,8","47,3","2",0,0,"K",25,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1159,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","2","MAT1011","Matematikk 1P","0",NA,"","","","52","","4",0,100,"K",22,NA,NA,"HSGSOB","Bachelor i sosialt arbeid (sosionom)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1160,"MBV","Master i barnevern",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","5","MAT1015","Matematikk 2P","",NA,"","","41,7","41,7","45,7","4",0,100,"K",25,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1161,"MBV","Master i barnevern",2023,"HØST","Trondheim","","","","","","","","",NA,"","","","","","2",0,0,"K",24,NA,NA,"BBARN","Bachelor i barnevern (HVL)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1162,"MBV","Master i barnevern",2023,"HØST","Trondheim","STREA3","Realfag vg3","ST","Studiespesialisering","5","REA3028","Matematikk S2","",5,"REA3011","Kjemi 1","49,6","47,1","49,6","4",0,100,"K",23,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1163,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","MAT1015","Matematikk 2P","",NA,"","","","45,2","","3",0,0,"K",25,NA,NA,"HSGSOB","Bachelor i sosialt arbeid (sosionom)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1164,"MBV","Master i barnevern",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4,7","REA3028","Matematikk S2","",NA,"","","43,5","42,5","49,5","3",0,0,"K",25,NA,NA,"BPED","Pedagogikk - bachelorstudium"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1165,"MBV","Master i barnevern",2023,"HØST","Trondheim","MDDRA3","Drama vg3","MD","Musikk, dans og drama","3,5","MAT1015","Matematikk 2P","",NA,"","","51,3","51,3","53,3","3",0,0,"K",23,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1166,"MBV","Master i barnevern",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","5","REA3026","Matematikk S1","",NA,"","","","48","","3",0,0,"K",23,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1167,"MBV","Master i barnevern",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","MAT1015","Matematikk 2P","",NA,"","","46,9","45,9","46,9","3",0,0,"K",23,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1168,"MBV","Master i barnevern",2023,"HØST","Trondheim","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","5","MAT1005","Matematikk 2P-Y","",NA,"","","51,7","51,7","51,7","3",0,0,"K",23,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1169,"MBV","Master i barnevern",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","MAT1015","Matematikk 2P","",NA,"","","","41,7","","4",0,100,"K",26,NA,NA,"BARNPED","Bachelor i barnevern (NORD)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1170,"MBVARB","Master i barnevernsarbeid",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","5","MAT1015","Matematikk 2P","",NA,"","","","50,4","","4",0,100,"K",22,NA,NA,"B-BARNEV","Bachelor i barnevern (UIS)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1171,"MBVARB","Master i barnevernsarbeid",2022,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","2","MAT1015","Matematikk 2P","",NA,"","","","38,8","","2,86",0,14,"K",25,NA,NA,"BACHSOS","BACHELOR I SOSIALT ARBEID (UIT)"
194,"MBV3003",1,"SKRIFTLIG1",2023,12,1172,"MBV","Master i barnevern",2023,"HØST","Trondheim","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","MAT1015","Matematikk 2P","",NA,"","","43,6","43,6","43,6","3",0,0,"K",24,NA,NA,"HSGBVB","Bachelor i barnevern (barnevernspedagog)"
