"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
186,"BVE-3020",1,"SKRIFTLIG1",2023,12,1601,"M-BARNEV","Barnevernsarbeid - master",2023,"HØST","UiT Norges arktiske universitet i Harstad","MKMED3","Studieforberedende vg3 innen medier og kommunikasjon","MK","Medier og kommunikasjon (yrkesfaglig)","4","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"38,5","38,5","48,5","4",0,100,"K",28,NA,NA,"BVPBA","Barnevern - bachelor"
186,"BVE-3020",1,"SKRIFTLIG1",2023,12,1602,"M-BARNEV","Barnevernsarbeid - master",2023,"HØST","UiT Norges arktiske universitet i Harstad","","","","","","","",NA,NA,NA,NA,"","","","4",0,100,"K",31,NA,NA,"BACBVPHIØ","Bachelor i barnevern (HIØ)"
186,"BVE-3020",1,"SKRIFTLIG1",2023,12,1603,"M-BARNEV","Barnevernsarbeid - master",2023,"HØST","UiT Norges arktiske universitet i Harstad","","","","","","","",NA,NA,NA,NA,"","","","4",0,100,"K",44,NA,NA,"BVDBA","Barnevern (deltid) - bachelor"
186,"BVE-3020",1,"SKRIFTLIG1",2023,12,1604,"M-BARNEV","Barnevern - master",2022,"HØST","UiT Norges arktiske universitet i Harstad","A004","Allmenne fag","AA","Allmenne, økonomiske og administrative fag","2","VG1331","Matematikk 1MY (ny plan)",NA,NA,NA,NA,"","39,3","","3,5",0,50,"K",36,NA,NA,"BACBVPHIØ","Bachelor i barnevern (HIØ)"
186,"BVE-3020",1,"SKRIFTLIG1",2023,12,1606,"M-BARNEV","Barnevernsarbeid - master",2023,"HØST","UiT Norges arktiske universitet i Harstad","","","","","","","",NA,NA,NA,NA,"","","","4",0,100,"K",42,NA,NA,"BVPBA","Barnevern - bachelor"
186,"BVE-3020",1,"SKRIFTLIG1",2023,12,1608,"M-BARNEV","Barnevernsarbeid - master",2023,"HØST","UiT Norges arktiske universitet i Harstad","","","","","","","",NA,NA,NA,NA,"","","","4",0,100,"K",37,NA,NA,"BACSOSHIØ","Bachelor i sosialt arbeid (HIØ)"
186,"BVE-3020",1,"SKRIFTLIG1",2023,12,1609,"M-BARNEV","Barnevernsarbeid - master",2023,"HØST","UiT Norges arktiske universitet i Harstad","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","4,5","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"45,2","45,2","53,2","5",0,100,"K",27,NA,NA,"BVDBA","Barnevern (deltid) - bachelor"
186,"BVE-3020",1,"SKRIFTLIG1",2023,12,1610,"M-BARNEV","Barnevernsarbeid - master",2023,"HØST","UiT Norges arktiske universitet i Harstad","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3,5","MAT1015","Matematikk 2P",NA,NA,NA,NA,"39,6","39,6","39,6","3",0,0,"K",25,NA,NA,"SBV","Barnevern - bachelor"
186,"BVE-3020",1,"SKRIFTLIG1",2023,12,1611,"M-BARNEV","Barnevernsarbeid - master",2023,"HØST","UiT Norges arktiske universitet i Harstad","A004","Allmenne fag","AA","Allmenne, økonomiske og administrative fag","3","VG1331","Matematikk 1MY (ny plan)",NA,NA,NA,NA,"","33","","4",0,100,"K",39,NA,NA,"BVPBA","Barnevern - bachelor"
186,"BVE-3020",1,"SKRIFTLIG1",2023,12,1612,"M-BARNEV","Barnevernsarbeid - master",2023,"HØST","UiT Norges arktiske universitet i Harstad","F014","Hudpleier","HS","Helse- og oppvekstfag","2","VF1320","Matematikk 1M (ny plan)",5,NA,NA,NA,"","38,8","","1",0,0,"K",38,NA,NA,"BACHEL_VER","Bachelor i vernepleie (OSLOMET)"
186,"BVE-3020",1,"SKRIFTLIG1",2023,12,1613,"M-BARNEV","Barnevernsarbeid - master",2023,"HØST","UiT Norges arktiske universitet i Harstad","","","","","","","",NA,NA,NA,NA,"","","","3",0,0,"K",48,NA,NA,"BVDBA","Barnevern (deltid) - bachelor"
186,"BVE-3020",1,"SKRIFTLIG1",2023,12,1615,"M-BARNEV","Barnevernsarbeid - master",2023,"HØST","UiT Norges arktiske universitet i Harstad","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3","MAT1015","Matematikk 2P",NA,NA,NA,NA,"34,1","33,6","44,1","3",0,0,"K",27,NA,NA,"SBV","Barnevern - bachelor"
