"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
184,"MABVA402",0,"S2",2023,"HØST",1400,"MAPS-BARN","Masterprogram i barnevern",2023,"HØST","Universitetet i Bergen","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","4","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"","41","","1,5",50,0,"K",22,NA,NA,"BACHEL","Bachelor i barnevern  (USN)"
184,"MABVA402",0,"S2",2023,"HØST",1401,"MAPS-BVA","Masterprogram i barnevernsarbeid",2023,"HØST","Universitetet i Bergen","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3,5","MAT1015","Matematikk 2P",NA,NA,NA,NA,"","44","","3",0,50,"K",23,NA,NA,"BAPS-SPED","Bachelorprogram i spesialpedagogikk"
184,"MABVA402",0,"S2",2023,"HØST",1402,"MAPS-BVA","Masterprogram i barnevernsarbeid",2023,"HØST","Universitetet i Bergen","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","3","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"","35,2","","5",0,100,"M",29,NA,NA,"BVPBV","Bachelor i sosialt arbeid - barnevernspedagog (HVO)"
184,"MABVA402",0,"S2",2023,"HØST",1403,"MAPS-BARN","Masterprogram i barnevern",2023,"HØST","Universitetet i Bergen","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3","MAT1015","Matematikk 2P",NA,NA,NA,NA,"","40,8","","1,5",50,0,"K",23,NA,NA,"BACHEL","Bachelor i barnevern  (USN)"
184,"MABVA402",0,"S2",2023,"HØST",1404,"MAPS-BVA","Masterprogram i barnevernsarbeid",2023,"HØST","Universitetet i Bergen","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","MAT1015","Matematikk 2P",NA,NA,NA,NA,"","28,8","","3,5",0,50,"K",25,NA,NA,"BLU","Bachelor - barnehagelærerutdanning (NLA)"
184,"MABVA402",0,"S2",2023,"HØST",1405,"MAPS-BVA","Masterprogram i barnevernsarbeid",2023,"HØST","Universitetet i Bergen","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","MAT1015","Matematikk 2P",5,NA,NA,NA,"46,7","45,7","46,7","4,5",0,100,"K",26,NA,NA,"BAPS-PSYK","Bachelorprogram i generell psykologi"
184,"MABVA402",0,"S2",2023,"HØST",1407,"MAPS-BVA","Masterprogram i barnevernsarbeid",2023,"HØST","Universitetet i Bergen","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3,5","REA3026","Matematikk S1",NA,NA,NA,NA,"","32,1","","0",100,0,"K",25,NA,NA,"BA1201-1","Bachelor i pedagogikk med vekt på spesialpedagogikk og interkulturell pedagogikk (NLA)"
184,"MABVA402",0,"S2",2023,"HØST",1408,"MAPS-BVA","Masterprogram i barnevernsarbeid",2023,"HØST","Universitetet i Bergen","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","2,7","MAT1015","Matematikk 2P",NA,NA,NA,NA,"","32,4","","2",50,50,"K",24,NA,NA,"BACHELOR","Bachelor i anvendt psykologi (HK)"
184,"MABVA402",0,"S2",2023,"HØST",1409,"MAPS-BVA","Masterprogram i barnevernsarbeid",2023,"HØST","Universitetet i Bergen","HSHEA3","Helsearbeiderfaget","HS","Helse- og oppvekstfag","5","MAT1001","Matematikk 1P-Y",NA,NA,NA,NA,"","40,4","","2",50,50,"K",26,NA,NA,"BACPSY20","Bachelor i psykologi (AHS)"
184,"MABVA402",0,"S2",2023,"HØST",1410,"MAPS-BARN","Masterprogram i barnevern",2023,"HØST","Universitetet i Bergen","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3,5","MAT1015","Matematikk 2P",NA,NA,NA,NA,"","42,5","","3,5",0,50,"K",23,NA,NA,"BACBVPHIØ","Bachelor i barnevern (HIØ)"
184,"MABVA402",0,"S2",2023,"HØST",1411,"MAPS-BVA","Masterprogram i barnevernsarbeid",2023,"HØST","Universitetet i Bergen","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","1,5","MAT1011","Matematikk 1P",NA,NA,NA,NA,"","37,4","","2,5",50,50,"K",25,NA,NA,"BACHELOR10","Bachelor i pedagogikk (NLA)"
184,"MABVA402",0,"S2",2023,"HØST",1412,"MAPS-BARN","Masterprogram i barnevern",2023,"HØST","Universitetet i Bergen","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","5,3","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"","52,9","","3,5",0,50,"K",22,NA,NA,"BBARN","Bachelor i barnevern (HVL)"
184,"MABVA402",0,"S2",2023,"HØST",1413,"MAPS-BARN","Masterprogram i barnevern",2023,"HØST","Universitetet i Bergen","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","6","MAT1003","Matematikk praktisk, Vg2 studieforberedende utdanningsprogram",NA,NA,NA,NA,"","38,3","","3",0,0,"K",31,NA,NA,"BACHBARN","Bachelor i barnevern (HINN)"
