"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
217,"MBA105",1,"S",2023,"HØST",1260,"M-BARNEV","Barnevernsarbeid - Masterprogram",2023,"HØST","Universitetet i Stavanger","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3","MAT1015","Matematikk 2P",NA,NA,"","","","40,4","","3,6",0,60,"K",24,NA,1,"B-BARNEV","Barnevern (barnevernspedagog) - bachelorstudium"
217,"MBA105",1,"S",2023,"HØST",1261,"M-BARNEV","Barnevernsarbeid - Masterprogram",2023,"HØST","Universitetet i Stavanger","","","","","","","",NA,NA,"","","","","","1,2",40,0,"K",46,NA,1,"HBU05","Bachelor i barnevern (OSLOMET)"
217,"MBA105",1,"S",2023,"HØST",1262,"M-BARNEV","Barnevernsarbeid - Masterprogram",2023,"HØST","Universitetet i Stavanger","","","","","","","",NA,NA,"","","","","","1,4",0,0,"K",42,NA,1,"B-BARNEV","Barnevern (barnevernspedagog) - bachelorstudium"
217,"MBA105",1,"S",2023,"HØST",1263,"M-BARNEV","Barnevernsarbeid - Masterprogram",2023,"HØST","Universitetet i Stavanger","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","2,5","MAT1005","Matematikk 2P-Y",NA,NA,"","","","42,1","","3",0,0,"K",25,NA,1,"B-BARNEV","Barnevern (barnevernspedagog) - bachelorstudium"
217,"MBA105",1,"S",2023,"HØST",1264,"M-BARNEV","Barnevernsarbeid - Masterprogram",2023,"HØST","Universitetet i Stavanger","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","2,8","REA3028","Matematikk S2",NA,NA,"","","","43,5","","3",0,0,"K",22,NA,1,"B-SOSION","Sosialt arbeid (sosionom) - bachelorstudium"
217,"MBA105",1,"S",2023,"HØST",1265,"M-BARNEV","Barnevernsarbeid - Masterprogram",2023,"HØST","Universitetet i Stavanger","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","4","MAT1005","Matematikk 2P-Y",NA,NA,"","","47,1","47,1","47,1","1,4",0,0,"K",22,NA,1,"B-SOSION","Sosialt arbeid (sosionom) - bachelorstudium"
217,"MBA105",1,"S",2023,"HØST",1266,"M-BARNEV","Barnevernsarbeid - Masterprogram",2023,"HØST","Universitetet i Stavanger","MEMOK3","Medier og kommunikasjon vg3","ME","Medier og kommunikasjon (studieforberedende)","3,5","MAT1015","Matematikk 2P",NA,NA,"","","44,2","44,2","44,2","1",0,0,"K",22,NA,1,"B-BARNEV","Barnevern (barnevernspedagog) - bachelorstudium"
217,"MBA105",1,"S",2023,"HØST",1267,"M-BARNEV","Barnevernsarbeid - Masterprogram",2023,"HØST","Universitetet i Stavanger","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","MAT1015","Matematikk 2P",NA,NA,"","","","42,5","","2",0,0,"K",23,NA,1,"B-BALÆR","Barnehagelærer - bachelorstudium"
217,"MBA105",1,"S",2023,"HØST",1268,"M-BARNEV","Barnevernsarbeid - Masterprogram",2023,"HØST","Universitetet i Stavanger","","","","","","","",NA,NA,"","","52","52","52","4,2",0,60,"M",34,NA,1,"B-BARNEV","Barnevern (barnevernspedagog) - bachelorstudium"
217,"MBA105",1,"S",2023,"HØST",1269,"M-BARNEV","Barnevernsarbeid - Masterprogram",2023,"HØST","Universitetet i Stavanger","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3,5","MAT1015","Matematikk 2P",NA,NA,"","","","42,9","","3,2",0,60,"K",24,NA,1,"B-BARNEV","Barnevern (barnevernspedagog) - bachelorstudium"
217,"MBA105",1,"S",2023,"HØST",1271,"M-BARNEV","Barnevernsarbeid - Masterprogram",2023,"HØST","Universitetet i Stavanger","HSTAN3","Tannhelsesekretær","HS","Helse- og oppvekstfag","5","MAT1001","Matematikk 1P-Y",NA,NA,"","","35","35","43","1",0,0,"K",31,NA,1,"B-BARNEV","Barnevern (barnevernspedagog) - bachelorstudium"
217,"MBA105",1,"S",2023,"HØST",1272,"M-BARNEV","Barnevernsarbeid - Masterprogram",2023,"HØST","Universitetet i Stavanger","HSPOR3","Portørfaget","HS","Helse- og oppvekstfag","5","MAT1001","Matematikk 1P-Y",NA,NA,"","","41,3","41,3","41,3","2",0,0,"K",25,NA,1,"B-BARNEV","Barnevern (barnevernspedagog) - bachelorstudium"
217,"MBA105",1,"S",2023,"HØST",1273,"M-BARNEV","Barnevernsarbeid - Masterprogram",2023,"HØST","Universitetet i Stavanger","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","REA3026","Matematikk S1",NA,NA,"","","44,3","43,8","44,3","2,4",0,0,"K",22,NA,1,"B-SOSION","Sosialt arbeid (sosionom) - bachelorstudium"
217,"MBA105",1,"S",2023,"HØST",1274,"M-BARNEV","Barnevernsarbeid - Masterprogram",2023,"HØST","Universitetet i Stavanger","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3","MAT1015","Matematikk 2P",NA,NA,"","","","44","","3,2",0,60,"K",22,NA,1,"B-BARNEV","Barnevern (barnevernspedagog) - bachelorstudium"
217,"MBA105",1,"S",2023,"HØST",1275,"M-BARNEV","Barnevernsarbeid - Masterprogram",2023,"HØST","Universitetet i Stavanger","","","","","","","",NA,NA,"","","","","","3",0,0,"K",39,NA,1,"B-SOSION","Sosialt arbeid (sosionom) - bachelorstudium"
