"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1500,"MASOSVITD","Master i sosialvitenskap, deltid",2023,"HØST","Bodø","","","","","","","",NA,NA,NA,NA,"","","","0",100,0,"K",49,NA,NA,"BACHBARN","Bachelor i barnevern (HINN)"
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1501,"MASOSVIT","Master i sosialvitenskap",2023,"HØST","Bodø","I007","Drama","MD","Musikk, dans og drama","2","VG1331","Matematikk 1MY (ny plan)",NA,NA,NA,NA,"34,7","34,7","34,7","0",100,0,"K",39,NA,NA,"BABEV","Bachelor i barnevern "
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1502,"MASOSVITD","Master i sosialvitenskap, deltid",2023,"HØST","Bodø","","","","","4","-","-",NA,NA,NA,NA,"43","43","43","",NA,NA,"K",49,NA,NA,"BABEV","Bachelor i barnevern "
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1503,"MASOSVIT","Master i sosialvitenskap",2023,"HØST","Bodø","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","5","MAT1005","Matematikk 2P-Y",NA,NA,NA,NA,"46,1","46,1","54,1","3,33",0,67,"K",33,NA,NA,"BASOA","Bachelor i sosialt arbeid "
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1504,"MASOSVIT","Master i sosialvitenskap",2023,"HØST","Bodø","","","","","","","",NA,NA,NA,NA,"","","","1",67,0,"K",40,NA,NA,"BABEV","Bachelor i barnevern "
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1505,"MASOSVITD","Master i sosialvitenskap, deltid",2023,"HØST","Bodø","","","","","","","",NA,NA,NA,NA,"29,3","29,3","29,3","0",100,0,"K",38,NA,NA,"BASOA","Bachelor i sosialt arbeid "
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1506,"MASOSVIT","Master i sosialvitenskap",2023,"HØST","Bodø","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","1,7","MAT1011","Matematikk 1P",NA,NA,NA,NA,"32","32","32","0",100,0,"K",23,NA,NA,"BABEV","Bachelor i barnevern "
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1507,"MASOSVITD","Master i sosialvitenskap, deltid",2023,"HØST","Bodø","","","","","","","",NA,NA,NA,NA,"43,5","43,5","45,5","",NA,NA,"K",40,NA,NA,"BABEV","Bachelor i barnevern "
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1508,"MASOSVIT","Master i sosialvitenskap",2023,"HØST","Bodø","F012","Hjelpepleier","HS","Helse- og oppvekstfag","3","VF1320","Matematikk 1M (ny plan)",3,NA,NA,NA,"32,4","32,4","42,4","0,33",67,0,"K",38,NA,NA,"BASOA","Bachelor i sosialt arbeid "
204,"SOA5002",1,"SKRIFTLIG1",2023,"HØST",1509,"MASOSVIT","Master i sosialvitenskap",2023,"HØST","Bodø","MEMOK3","Medier og kommunikasjon vg3","ME","Medier og kommunikasjon (studieforberedende)","2,5","MAT1015","Matematikk 2P",NA,NA,NA,NA,"41,2","41,2","41,2","0",100,0,"K",23,NA,NA,"BABEV","Bachelor i barnevern "
