"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
215,"SBV4200",1,1,2023,"HØST",1650,"MSBH","Masterstudium i sosialfag - studieretning barnevern",2023,"HØST","Pilestredet","HSBUA3","Barne- og ungdomsarbeiderfaget","HS","Helse- og oppvekstfag","2,7","MAT1005","Matematikk 2P-Y","",NA,"","","","45,9","","5",0,100,"K",24,NA,1,"BVUH","Bachelorstudium i barnevern"
215,"SBV4200",1,1,2023,"HØST",1651,"MSBH","Masterstudium i sosialfag - studieretning barnevern",2023,"HØST","Pilestredet","NANAB3","Studieforberedende vg3 innen naturbruk",NA,"Naturbruk","2","REA3022","Matematikk R1","5",3,"REA3012","Kjemi 2","","44,2","","3",0,0,"K",24,NA,1,"BACBVPHIØ","Bachelor i barnevern (HIØ)"
215,"SBV4200",1,1,2023,"HØST",1652,"MSBH","Masterstudium i sosialfag - studieretning barnevern",2023,"HØST","Pilestredet","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","5","MAT1015","Matematikk 2P","",NA,"","","","43,5","","4",0,100,"K",24,NA,1,"BACBVPHIØ","Bachelor i barnevern (HIØ)"
215,"SBV4200",1,1,2023,"HØST",1653,"MSBH","Masterstudium i sosialfag - studieretning barnevern",2023,"HØST","Pilestredet","","","","","","","","",NA,"","","","","","5",0,100,"K",22,NA,1,"B-BARNEV","Bachelor i barnevern (UIS)"
215,"SBV4200",1,1,2023,"HØST",1654,"MSBH","Masterstudium i sosialfag - studieretning barnevern",2023,"HØST","Pilestredet","PBPBY3","Vg3 påbygging til generell studiekompetanse for yrkesfaglige utdanningsprogram","","","4,5","MAT1005","Matematikk 2P-Y","",NA,"","","","51,7","","3",0,0,"K",22,NA,1,"BVUH","Bachelorstudium i barnevern"
215,"SBV4200",1,1,2023,"HØST",1655,"MSBH","Masterstudium i sosialfag - studieretning barnevern",2023,"HØST","Pilestredet","MDDRA3","Drama vg3","MD","Musikk, dans og drama","5","MAT1015","Matematikk 2P","",NA,"","","53,6","52,6","53,6","3,5",0,63,"K",29,NA,1,"BVUH","Bachelorstudium i barnevern"
215,"SBV4200",1,1,2023,"HØST",1656,"MSBH","Masterstudium i sosialfag - studieretning barnevern",2023,"HØST","Pilestredet","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4","MAT1015","Matematikk 2P","5",NA,"","","51,3","50,8","51,3","4",0,100,"K",24,NA,1,"BVUH","Bachelorstudium i barnevern"
215,"SBV4200",1,1,2023,"HØST",1657,"MSBH","Masterstudium i sosialfag - studieretning barnevern",2023,"HØST","Pilestredet","IDIDR3","Idrettsfag vg3","ID","Idrettsfag","5","MAT1015","Matematikk 2P","",NA,"","","49,6","49,6","59,6","5",0,100,"K",26,NA,1,"BVUH","Bachelorstudium i barnevern"
215,"SBV4200",1,1,2023,"HØST",1658,"MSBH","Masterstudium i sosialfag - studieretning barnevern",2023,"HØST","Pilestredet","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3","MAT1015","Matematikk 2P","5",NA,"","","40,9","40,4","48,9","1",0,0,"K",23,NA,1,"BACHEL","Bachelor i barnevern  (USN)"
215,"SBV4200",1,1,2023,"HØST",1659,"MSBH","Masterstudium i sosialfag - studieretning barnevern",2023,"HØST","Pilestredet","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","4,5","MAT1015","Matematikk 2P","",NA,"","","","46,8","","5",0,100,"K",23,NA,1,"BVUH","Bachelorstudium i barnevern"
215,"SBV4200",1,1,2023,"HØST",1660,"MSBH","Masterstudium i sosialfag - studieretning barnevern",2023,"HØST","Pilestredet","IDIDR3","Idrettsfag vg3","ID","Idrettsfag","5","MAT1015","Matematikk 2P","",NA,"","","45","45","55","4",0,100,"K",26,NA,1,"BVUH","Bachelorstudium i barnevern"
215,"SBV4200",1,1,2023,"HØST",1661,"MSBH","Masterstudium i sosialfag - studieretning barnevern",2023,"HØST","Pilestredet","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","5,5","REA3026","Matematikk S1","4",NA,"","","","50,4","","5",0,100,"K",23,NA,1,"BVUH","Bachelorstudium i barnevern"
215,"SBV4200",1,1,2023,"HØST",1662,"MSBH","Masterstudium i sosialfag - studieretning barnevern",2023,"HØST","Pilestredet","STSSA3","Språk, samfunnsfag og økonomi vg3","ST","Studiespesialisering","3,5","MAT1015","Matematikk 2P","4",NA,"","","47,5","47","47,5","5",0,100,"K",23,NA,1,"BVUH","Bachelorstudium i barnevern"
